epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1265.48,0.09619,0.81741,0.31993,0.8186,0.71048,0.80752,0.44586,0.09748,0.74885,0.31791,0.00558415,0.00558415,0.00558415
43,1295.45,0.09657,0.78343,0.3175,0.89916,0.77162,0.86908,0.49914,0.09144,0.67521,0.30319,0.00554449,0.00554449,0.00554449
44,1326.34,0.09548,0.79216,0.31684,0.78967,0.74423,0.83696,0.48698,0.0902,0.71883,0.2959,0.00550483,0.00550483,0.00550483
45,1355.99,0.09598,0.76926,0.31462,0.74655,0.7171,0.75851,0.43289,0.09611,0.78022,0.31219,0.00546518,0.00546518,0.00546518
46,1385.88,0.0956,0.77128,0.31805,0.67392,0.78452,0.81843,0.46203,0.09373,0.73127,0.30629,0.00542552,0.00542552,0.00542552
47,1416.1,0.09767,0.78764,0.32373,0.77284,0.66463,0.7461,0.38947,0.1009,0.83964,0.32556,0.00538587,0.00538587,0.00538587
48,1446.09,0.09511,0.76655,0.31626,0.84623,0.71572,0.82148,0.44191,0.09785,0.7434,0.31982,0.00534622,0.00534622,0.00534622
49,1476.38,0.09325,0.75911,0.31455,0.76195,0.78201,0.8305,0.45134,0.09218,0.74489,0.30697,0.00530656,0.00530656,0.00530656
50,1506.68,0.09368,0.74594,0.31398,0.81181,0.74748,0.83112,0.47019,0.09195,0.73794,0.3052,0.00526691,0.00526691,0.00526691
51,1536.31,0.09522,0.77169,0.31908,0.84178,0.65439,0.76078,0.41009,0.09665,0.88315,0.31845,0.00522725,0.00522725,0.00522725
52,1565.95,0.09502,0.77222,0.31828,0.8286,0.72188,0.84046,0.5083,0.09042,0.71361,0.29996,0.0051876,0.0051876,0.0051876
53,1595.69,0.09206,0.72991,0.30797,0.83238,0.79003,0.8461,0.51378,0.08795,0.68273,0.29515,0.00514794,0.00514794,0.00514794
